search_id,user_id,search_query,recommended_content,clicked_content,recommendation_score,search_timestamp
SRCH00002793,USER001196,Kids,CONT000854,CONT000769,0.45,2024-09-25 12:51:46
SRCH00002794,USER002659,IPL,CONT000609,CONT000609,0.46,2023-01-10 00:05:19
SRCH00002795,USER000217,Comedy,CONT000841,CONT000728,0.80,2023-01-11 05:10:23
SRCH00002796,USER000442,IPL,CONT000065,CONT000065,0.74,2024-04-17 16:34:45
SRCH00002797,USER001413,Sci-Fi,CONT000684,CONT000684,0.03,2025-04-29 02:52:29
SRCH00002798,USER000195,Sci-Fi,CONT000477,CONT000520,0.39,2025-11-18 12:45:26
SRCH00002799,USER001069,KDrama,CONT000627,CONT000986,0.99,2026-02-14 17:06:27
SRCH00002800,USER000997,Sci-Fi,CONT000773,CONT000773,0.57,2025-12-15 08:21:19
SRCH00002801,USER000236,Kids,CONT000820,CONT000317,0.56,2025-05-22 23:10:31
SRCH00002802,USER000138,IPL,CONT000341,CONT000339,0.38,2023-12-09 16:20:24
SRCH00002803,USER000518,Drama,CONT000278,CONT000844,0.42,2026-05-29 12:27:59
SRCH00002804,USER002888,KDrama,CONT000543,CONT000628,0.30,2023-09-22 13:08:49
SRCH00002805,USER002275,Marvel,CONT000416,CONT000416,0.90,2024-05-16 01:43:50
SRCH00002806,USER002201,Kids,CONT000095,CONT000240,0.12,2025-02-22 21:37:58
SRCH00002807,USER000294,Sci-Fi,CONT000746,CONT000137,0.23,2023-03-05 18:02:08
SRCH00002808,USER002620,KDrama,CONT000438,CONT000989,0.42,2025-08-10 09:53:05
SRCH00002809,USER000122,Anime,CONT000558,CONT000558,0.33,2023-04-11 07:37:23
SRCH00002810,USER001104,Kids,CONT000865,CONT000689,0.72,2026-06-28 16:18:06
SRCH00002811,USER000412,Marvel,CONT000735,CONT000735,1.00,2025-12-06 12:10:16
SRCH00002812,USER000091,Documentary,CONT000808,CONT000636,0.42,2024-03-19 20:31:19
SRCH00002813,USER001620,KDrama,CONT000401,CONT000401,0.86,2024-01-10 06:15:23
SRCH00002814,USER000442,Marvel,CONT000930,CONT000318,0.16,2024-01-06 04:58:24
SRCH00002815,USER000914,IPL,CONT000535,CONT000535,0.15,2023-04-07 19:04:44
SRCH00002816,USER001426,Drama,CONT000065,CONT000295,0.99,2025-12-26 08:30:37
SRCH00002817,USER000430,Documentary,CONT000394,CONT000469,0.73,2023-07-18 03:23:45
SRCH00002818,USER000980,Marvel,CONT000286,CONT000286,0.91,2023-06-28 14:12:22
SRCH00002819,USER002473,Action Movies,CONT000733,CONT000965,0.77,2025-05-23 17:53:50
SRCH00002820,USER002354,Anime,CONT000668,CONT000454,0.12,2025-04-19 13:27:23
SRCH00002821,USER000123,Sci-Fi,CONT000562,CONT000562,0.97,2025-10-13 18:00:36
SRCH00002822,USER000772,Marvel,CONT000191,CONT000690,0.58,2023-11-27 01:30:06
SRCH00002823,USER002170,KDrama,CONT000010,CONT000302,0.23,2025-03-12 19:14:23
SRCH00002824,USER002556,Drama,CONT000570,CONT000307,0.06,2023-04-06 21:13:54
SRCH00002825,USER000594,Anime,CONT000405,CONT000197,0.42,2023-07-08 05:46:23
SRCH00002826,USER000350,Action Movies,CONT000919,CONT000051,0.11,2024-04-07 17:05:27
SRCH00002827,USER000520,KDrama,CONT000016,CONT000867,0.42,2026-03-08 19:50:41
SRCH00002828,USER002803,Comedy,CONT000184,CONT000642,0.74,2024-04-09 13:02:44
SRCH00002829,USER000827,Sci-Fi,CONT000985,CONT000985,0.11,2024-08-31 07:02:01
SRCH00002830,USER002115,IPL,CONT000636,CONT000659,0.76,2025-11-19 04:55:55
SRCH00002831,USER000942,Kids,CONT000820,CONT000227,0.05,2023-07-13 11:39:19
SRCH00002832,USER002049,Anime,CONT000152,CONT000152,0.60,2023-09-11 21:55:58
SRCH00002833,USER000432,Kids,CONT000613,CONT000009,0.31,2023-06-27 23:03:02
SRCH00002834,USER002585,Drama,CONT000290,CONT000290,0.63,2023-07-07 15:20:11
SRCH00002835,USER002402,Drama,CONT000367,CONT000367,0.24,2023-01-22 11:06:02
SRCH00002836,USER001607,Kids,CONT000166,CONT000166,0.04,2023-07-03 04:11:35
SRCH00002837,USER000753,Marvel,CONT000732,CONT000211,0.66,2025-08-04 22:33:56
SRCH00002838,USER001464,IPL,CONT000101,CONT000849,0.38,2024-08-20 21:44:11
SRCH00002839,USER002431,Kids,CONT000167,CONT000167,0.36,2024-05-14 02:53:31
SRCH00002840,USER001292,Marvel,CONT000861,CONT000618,0.05,2024-09-21 10:20:46
SRCH00002841,USER000533,Action Movies,CONT000753,CONT000753,0.99,2025-04-26 12:04:35
SRCH00002842,USER002838,Action Movies,CONT000022,CONT000022,0.63,2023-07-16 00:14:26
SRCH00002843,USER001146,Documentary,CONT000469,CONT000687,0.41,2024-09-27 00:43:43
SRCH00002844,USER000514,IPL,CONT000589,CONT000603,0.40,2025-08-14 16:17:46
SRCH00002845,USER002862,Action Movies,CONT000864,CONT000864,0.01,2026-01-25 20:28:52
SRCH00002846,USER000476,Action Movies,CONT000522,CONT000522,0.20,2025-09-30 13:22:46
SRCH00002847,USER001835,Action Movies,CONT000013,CONT000556,0.78,2025-11-24 06:33:40
SRCH00002848,USER000139,Documentary,CONT000571,CONT000571,0.53,2024-12-06 00:46:26
SRCH00002849,USER001959,Anime,CONT000844,CONT000844,0.98,2023-01-30 02:55:32
SRCH00002850,USER001580,Documentary,CONT000720,CONT000943,0.48,2024-01-31 10:02:21
SRCH00002851,USER001439,Comedy,CONT000659,CONT000389,0.34,2025-10-09 11:45:52
SRCH00002852,USER000303,Kids,CONT000983,CONT000922,0.68,2024-03-13 13:48:35
SRCH00002853,USER000898,Kids,CONT000956,CONT000900,0.05,2024-05-05 12:41:20
SRCH00002854,USER002124,Comedy,CONT000798,CONT000886,0.67,2025-08-27 14:24:43
SRCH00002855,USER000928,Marvel,CONT000528,CONT000086,0.59,2026-05-01 12:22:55
SRCH00002856,USER000890,IPL,CONT000728,CONT000471,0.66,2023-03-14 04:59:05
SRCH00002857,USER001221,Kids,CONT000919,CONT000033,0.46,2024-01-08 03:26:36
SRCH00002858,USER000515,Anime,CONT000953,CONT000733,0.50,2023-09-28 13:37:21
SRCH00002859,USER001447,Sci-Fi,CONT000752,CONT000752,0.46,2024-01-13 03:11:57
SRCH00002860,USER000114,Action Movies,CONT000064,CONT000279,0.17,2023-06-17 01:44:58
SRCH00002861,USER001402,Marvel,CONT000781,CONT000781,0.99,2025-05-23 23:34:58
SRCH00002862,USER000303,Marvel,CONT000904,CONT000207,0.60,2026-04-29 17:20:39
SRCH00002863,USER001573,Kids,CONT000955,CONT000145,0.33,2023-02-21 06:22:55
SRCH00002864,USER002427,Action Movies,CONT000201,CONT000201,0.09,2024-10-10 04:45:15
SRCH00002865,USER000582,Documentary,CONT000272,CONT000103,0.36,2025-12-29 13:22:02
SRCH00002866,USER000209,Kids,CONT000498,CONT000215,0.66,2024-11-16 03:28:30
SRCH00002867,USER000280,Documentary,CONT000969,CONT000090,0.37,2024-02-26 23:21:36
SRCH00002868,USER001136,Kids,CONT000650,CONT000634,0.77,2026-05-11 11:36:11
SRCH00002869,USER002021,Documentary,CONT000885,CONT000885,0.98,2025-06-30 12:28:46
SRCH00002870,USER000273,KDrama,CONT000441,CONT000734,0.02,2023-07-26 08:56:44
SRCH00002871,USER001832,Sci-Fi,CONT000778,CONT000167,0.05,2024-07-11 21:01:26
SRCH00002872,USER002993,Action Movies,CONT000140,CONT000763,0.48,2024-06-16 05:44:59
SRCH00002873,USER001415,Sci-Fi,CONT000328,CONT000436,0.47,2023-02-16 17:21:44
SRCH00002874,USER000703,Kids,CONT000737,CONT000953,0.33,2026-01-30 15:34:42
SRCH00002875,USER000177,Sci-Fi,CONT000288,CONT000347,0.15,2025-05-08 06:45:38
SRCH00002876,USER000434,IPL,CONT000393,CONT000366,0.70,2024-03-18 13:48:01
SRCH00002877,USER001107,Sci-Fi,CONT000088,CONT000088,0.86,2025-09-01 02:37:16
SRCH00002878,USER002281,Documentary,CONT000867,CONT000985,0.73,2023-12-23 11:46:23
SRCH00002879,USER000374,KDrama,CONT000551,CONT000400,0.76,2025-01-27 10:19:12
SRCH00002880,USER002441,Drama,CONT000045,CONT000321,0.96,2026-01-28 07:52:23
SRCH00002881,USER001834,Sci-Fi,CONT000313,CONT000565,0.14,2023-05-06 02:46:52
SRCH00002882,USER000103,Anime,CONT000276,CONT000443,0.35,2023-10-27 12:20:52
SRCH00002883,USER002401,Documentary,CONT000462,CONT000508,0.17,2025-03-08 10:15:53
SRCH00002884,USER000024,KDrama,CONT000934,CONT000712,0.45,2025-12-21 13:43:43
SRCH00002885,USER001173,Comedy,CONT000558,CONT000740,0.72,2024-06-18 02:08:12
SRCH00002886,USER000661,Drama,CONT000516,CONT000553,0.38,2025-02-17 20:27:20
SRCH00002887,USER001446,Action Movies,CONT000730,CONT000649,0.18,2025-11-28 16:41:59
SRCH00002888,USER001801,Sci-Fi,CONT000959,CONT000865,0.47,2024-05-28 22:38:40
SRCH00002889,USER002584,Kids,CONT000144,CONT000144,0.74,2026-04-15 00:55:13
SRCH00002890,USER000614,IPL,CONT000423,CONT000510,0.61,2023-11-12 11:59:03
SRCH00002891,USER002917,Drama,CONT000651,CONT000318,0.55,2023-05-15 05:43:34
SRCH00002892,USER000875,Anime,CONT000039,CONT000039,0.05,2024-12-27 06:17:08
SRCH00002893,USER002532,Kids,CONT000100,CONT000747,0.42,2025-05-22 16:53:03
SRCH00002894,USER002252,Anime,CONT000873,CONT000873,0.87,2024-02-14 08:22:29
SRCH00002895,USER000457,Marvel,CONT000306,CONT000077,0.59,2026-05-15 20:45:28
SRCH00002896,USER000570,Comedy,CONT000080,CONT000211,0.19,2024-10-13 00:46:08
SRCH00002897,USER001278,Sci-Fi,CONT000214,CONT000461,0.73,2024-09-29 03:22:35
SRCH00002898,USER000824,Anime,CONT000303,CONT000303,0.82,2025-03-02 19:06:56
SRCH00002899,USER000210,Drama,CONT000507,CONT000242,0.40,2024-11-28 13:02:54
SRCH00002900,USER002975,Kids,CONT000178,CONT000650,0.61,2024-05-26 10:49:36
SRCH00002901,USER000501,Marvel,CONT000523,CONT000523,0.29,2026-05-11 02:33:57
SRCH00002902,USER002207,IPL,CONT000818,CONT000396,0.80,2025-10-29 12:22:38
SRCH00002903,USER000330,Comedy,CONT000203,CONT000871,0.24,2024-01-07 18:48:00
SRCH00002904,USER002106,KDrama,CONT000051,CONT000177,0.63,2023-11-22 09:57:44
SRCH00002905,USER002404,Comedy,CONT000628,CONT000892,0.61,2025-01-20 21:02:36
SRCH00002906,USER001606,KDrama,CONT000216,CONT000224,0.47,2024-12-23 07:54:14
SRCH00002907,USER001785,Drama,CONT000708,CONT000724,0.37,2024-09-28 22:30:01
SRCH00002908,USER000961,Marvel,CONT000515,CONT000206,0.64,2025-10-29 19:24:19
SRCH00002909,USER002004,IPL,CONT000130,CONT000890,0.26,2023-11-24 22:20:07
SRCH00002910,USER001807,Sci-Fi,CONT000491,CONT000070,0.89,2026-05-29 19:00:19
SRCH00002911,USER002669,Anime,CONT000806,CONT000806,0.57,2025-08-18 00:54:05
SRCH00002912,USER000446,IPL,CONT000771,CONT000559,0.27,2023-01-02 14:36:03
SRCH00002913,USER002258,Marvel,CONT000102,CONT000345,0.36,2023-10-18 11:21:30
SRCH00002914,USER001508,Sci-Fi,CONT000687,CONT000833,0.57,2024-11-03 17:54:01
SRCH00002915,USER002940,Comedy,CONT000573,CONT000252,0.83,2025-07-01 19:10:32
SRCH00002916,USER000934,Kids,CONT000235,CONT000298,0.09,2023-07-14 15:42:17
SRCH00002917,USER001259,Action Movies,CONT000660,CONT000098,0.56,2026-05-14 07:38:30
SRCH00002918,USER002393,Comedy,CONT000813,CONT000645,0.65,2023-09-25 06:48:51
SRCH00002919,USER002009,Sci-Fi,CONT000088,CONT000088,0.88,2023-11-11 18:47:48
SRCH00002920,USER002368,IPL,CONT000472,CONT000946,0.27,2023-12-07 00:25:19
SRCH00002921,USER001147,Kids,CONT000009,CONT000357,0.34,2024-03-26 20:32:48
SRCH00002922,USER000396,Sci-Fi,CONT000714,CONT000674,0.53,2023-04-26 13:54:25
SRCH00002923,USER000325,Action Movies,CONT000995,CONT000034,0.10,2024-02-20 17:36:11
SRCH00002924,USER001616,Anime,CONT000098,CONT000262,0.04,2025-08-05 07:20:55
SRCH00002925,USER000014,IPL,CONT000400,CONT000400,0.96,2025-11-12 05:43:21
SRCH00002926,USER000770,Action Movies,CONT000535,CONT000535,0.03,2024-04-10 08:21:32
SRCH00002927,USER002923,Documentary,CONT000502,CONT000785,0.49,2023-09-08 05:02:09
SRCH00002928,USER002682,Kids,CONT000731,CONT000068,0.13,2023-06-24 04:44:47
SRCH00002929,USER001305,Documentary,CONT000510,CONT000173,0.36,2024-11-28 22:37:39
SRCH00002930,USER000019,KDrama,CONT000463,CONT000394,0.37,2023-06-02 04:14:28
SRCH00002931,USER001579,IPL,CONT000720,CONT000720,0.16,2023-12-26 06:07:57
SRCH00002932,USER000491,Sci-Fi,CONT000319,CONT000319,0.78,2024-02-09 07:49:47
SRCH00002933,USER001840,Action Movies,CONT000363,CONT000984,0.06,2023-08-09 18:34:38
SRCH00002934,USER001298,Anime,CONT000210,CONT000487,0.22,2025-06-23 22:33:33
SRCH00002935,USER002034,IPL,CONT000393,CONT000394,0.37,2023-02-04 12:17:54
SRCH00002936,USER001816,Sci-Fi,CONT000531,CONT000531,0.86,2025-09-08 10:51:52
SRCH00002937,USER002766,Documentary,CONT000569,CONT000603,0.01,2024-07-07 06:18:06
SRCH00002938,USER000437,Drama,CONT000295,CONT000770,0.28,2026-02-18 23:46:46
SRCH00002939,USER002713,IPL,CONT000318,CONT000799,0.98,2024-06-26 11:45:37
SRCH00002940,USER001461,Comedy,CONT000313,CONT000883,0.73,2024-09-14 08:52:00
SRCH00002941,USER000473,IPL,CONT000854,CONT000854,0.93,2026-06-11 15:57:11
SRCH00002942,USER000917,Sci-Fi,CONT000537,CONT000537,0.43,2023-08-26 04:18:29
SRCH00002943,USER000394,Sci-Fi,CONT000176,CONT000333,0.71,2023-06-24 11:04:00
SRCH00002944,USER000696,Comedy,CONT000128,CONT000515,0.61,2023-11-25 12:22:14
SRCH00002945,USER002990,Drama,CONT000755,CONT000372,0.21,2024-02-19 04:53:57
SRCH00002946,USER001090,Comedy,CONT000091,CONT000321,0.29,2025-10-12 11:21:55
SRCH00002947,USER000666,Drama,CONT000528,CONT000725,0.15,2025-03-16 11:45:58
SRCH00002948,USER002179,Kids,CONT000139,CONT000139,0.97,2025-06-17 16:35:07
SRCH00002949,USER000665,Sci-Fi,CONT000017,CONT000199,0.27,2024-08-07 04:21:29
SRCH00002950,USER000659,Anime,CONT000778,CONT000050,0.05,2023-03-29 19:00:56
SRCH00002951,USER001364,Kids,CONT000701,CONT000701,0.95,2024-04-25 15:26:58
SRCH00002952,USER002831,Sci-Fi,CONT000783,CONT000278,0.78,2023-04-20 16:10:30
SRCH00002953,USER000016,Drama,CONT000217,CONT000217,0.94,2024-09-07 02:37:10
SRCH00002954,USER001399,Sci-Fi,CONT000787,CONT000073,0.03,2025-11-20 20:53:28
SRCH00002955,USER001670,Documentary,CONT000979,CONT000979,0.93,2026-01-07 11:01:18
SRCH00002956,USER001954,Kids,CONT000054,CONT000991,0.57,2023-11-23 06:37:06
SRCH00002957,USER000067,Kids,CONT000346,CONT000609,0.04,2024-11-18 10:01:33
SRCH00002958,USER001119,Marvel,CONT000218,CONT000066,0.65,2023-04-02 07:38:59
SRCH00002959,USER001814,Marvel,CONT000231,CONT000517,0.20,2023-06-13 23:28:48
SRCH00002960,USER001443,Anime,CONT000794,CONT000794,0.81,2024-11-11 09:36:07
SRCH00002961,USER000266,IPL,CONT000100,CONT000100,0.61,2024-10-13 05:23:48
SRCH00002962,USER000216,Drama,CONT000436,CONT000311,0.33,2026-03-26 10:21:32
SRCH00002963,USER002292,KDrama,CONT000931,CONT000186,0.44,2025-05-21 23:08:34
SRCH00002964,USER001703,Documentary,CONT000590,CONT000509,0.47,2025-06-26 14:03:13
SRCH00002965,USER000433,Kids,CONT000975,CONT000216,0.28,2023-08-24 19:28:13
SRCH00002966,USER002782,KDrama,CONT000765,CONT000742,0.25,2025-10-01 15:22:59
SRCH00002967,USER001994,KDrama,CONT000759,CONT000759,0.14,2025-11-23 17:14:25
SRCH00002968,USER002836,Drama,CONT000772,CONT000570,0.52,2023-02-12 14:11:34
SRCH00002969,USER000074,Marvel,CONT000753,CONT000375,0.65,2024-06-10 08:40:07
SRCH00002970,USER000410,KDrama,CONT000287,CONT000287,0.67,2025-05-21 04:36:33
SRCH00002971,USER001430,Marvel,CONT000617,CONT000508,0.02,2023-01-29 19:56:34
SRCH00002972,USER001073,Marvel,CONT000207,CONT000375,0.05,2024-08-19 23:17:44
SRCH00002973,USER000394,Kids,CONT000985,CONT000677,0.70,2023-09-04 22:53:32
SRCH00002974,USER000475,Documentary,CONT000027,CONT000068,0.44,2023-09-04 06:51:21
SRCH00002975,USER000789,Action Movies,CONT000986,CONT000893,0.20,2023-08-11 23:11:10
SRCH00002976,USER002973,Sci-Fi,CONT000123,CONT000123,0.10,2024-09-21 16:08:24
SRCH00002977,USER001018,Comedy,CONT000459,CONT000386,0.64,2024-02-04 02:12:30
SRCH00002978,USER000660,KDrama,CONT000487,CONT000487,0.97,2024-07-11 06:03:07
SRCH00002979,USER002234,IPL,CONT000609,CONT000016,0.05,2023-03-02 19:07:01
SRCH00002980,USER002119,Action Movies,CONT000928,CONT000842,0.54,2024-10-02 07:38:03
SRCH00002981,USER000713,Sci-Fi,CONT000329,CONT000166,0.30,2026-05-11 14:07:57
SRCH00002982,USER002169,KDrama,CONT000210,CONT000961,0.75,2024-06-08 06:50:30
SRCH00002983,USER001215,IPL,CONT000871,CONT000926,0.27,2024-12-06 22:33:25
SRCH00002984,USER001211,Documentary,CONT000635,CONT000635,0.95,2024-08-14 09:56:18
SRCH00002985,USER002361,Comedy,CONT000930,CONT000853,0.33,2023-03-16 14:32:16
SRCH00002986,USER001525,Action Movies,CONT000652,CONT000652,0.94,2024-05-31 05:27:37
SRCH00002987,USER002958,Anime,CONT000757,CONT000503,0.44,2023-08-26 23:52:31
SRCH00002988,USER002865,Documentary,CONT000906,CONT000038,0.63,2024-01-15 14:45:41
SRCH00002989,USER001701,Drama,CONT000623,CONT000944,0.45,2023-09-06 10:49:20
SRCH00002990,USER002002,IPL,CONT000095,CONT000374,0.36,2025-03-20 04:17:07
SRCH00002991,USER002974,Drama,CONT000671,CONT000671,0.92,2026-02-17 10:38:22
SRCH00002992,USER001689,Drama,CONT000152,CONT000152,0.81,2025-09-06 14:22:00
SRCH00002993,USER002913,Sci-Fi,CONT000037,CONT000240,0.69,2025-09-18 23:40:47
SRCH00002994,USER001792,Anime,CONT000976,CONT000148,0.69,2024-10-10 22:51:12
SRCH00002995,USER001785,KDrama,CONT000471,CONT000489,0.27,2025-03-16 01:24:45
SRCH00002996,USER000169,Anime,CONT000039,CONT000039,0.94,2025-06-11 15:13:16
SRCH00002997,USER002699,Action Movies,CONT000344,CONT000673,0.13,2024-12-17 05:44:41
SRCH00002998,USER002456,Kids,CONT000221,CONT000692,0.56,2026-03-17 02:50:31
SRCH00002999,USER002330,IPL,CONT000980,CONT000749,0.40,2025-03-05 20:47:32
SRCH00003000,USER002069,Kids,CONT000125,CONT000414,0.35,2024-08-09 17:37:41
SRCH00003001,USER002629,IPL,CONT000691,CONT000152,0.84,2026-03-16 00:45:58
SRCH00003002,USER001044,Anime,CONT000120,CONT000120,0.43,2024-04-17 10:18:23
SRCH00003003,USER001519,Documentary,CONT000148,CONT000148,0.17,2023-08-14 00:55:48
SRCH00003004,USER001426,Anime,CONT000951,CONT000356,0.26,2024-06-06 06:56:50
SRCH00003005,USER002172,KDrama,CONT000931,CONT000297,0.57,2024-03-22 02:35:06
SRCH00003006,USER001942,Comedy,CONT000975,CONT000975,0.55,2026-05-22 16:47:20
SRCH00003007,USER000673,Anime,CONT000732,CONT000913,0.68,2026-04-20 20:58:29
SRCH00003008,USER001612,KDrama,CONT000806,CONT000873,0.43,2023-03-30 05:33:23
SRCH00003009,USER000273,Anime,CONT000709,CONT000709,0.47,2024-06-14 05:39:40
SRCH00003010,USER000710,Action Movies,CONT000267,CONT000008,0.05,2024-02-25 16:49:55
SRCH00003011,USER001627,Kids,CONT000930,CONT000690,0.02,2024-07-10 10:58:51
SRCH00003012,USER002131,Kids,CONT000686,CONT000936,0.36,2023-08-28 00:12:39
SRCH00003013,USER000805,Action Movies,CONT000375,CONT000834,0.57,2026-01-25 02:38:27
SRCH00003014,USER000420,Kids,CONT000686,CONT000210,0.61,2023-01-08 18:12:34
SRCH00003015,USER000776,Comedy,CONT000376,CONT000518,0.17,2024-08-07 03:58:27
SRCH00003016,USER002160,Kids,CONT000113,CONT000113,0.45,2025-02-22 12:52:18
SRCH00003017,USER002550,Drama,CONT000323,CONT000323,0.35,2024-09-27 05:29:23
SRCH00003018,USER002334,Documentary,CONT000332,CONT000735,0.01,2024-03-09 20:29:30
SRCH00003019,USER000397,KDrama,CONT000336,CONT000926,0.34,2025-02-05 20:09:13
SRCH00003020,USER002302,Documentary,CONT000078,CONT000423,0.47,2023-11-19 14:52:07
SRCH00003021,USER001652,Kids,CONT000504,CONT000504,0.98,2024-09-03 00:22:59
SRCH00003022,USER001070,Drama,CONT000242,CONT000462,0.62,2025-03-27 20:28:14
SRCH00003023,USER000709,IPL,CONT000729,CONT000729,0.93,2023-10-21 14:57:07
SRCH00003024,USER000415,IPL,CONT000627,CONT000627,0.00,2025-01-29 13:56:45
SRCH00003025,USER000197,Sci-Fi,CONT000080,CONT000080,0.97,2026-06-14 03:11:13
SRCH00003026,USER002820,KDrama,CONT000998,CONT000157,0.22,2023-09-30 22:14:52
SRCH00003027,USER001666,KDrama,CONT000946,CONT000001,0.06,2024-11-22 20:22:06
SRCH00003028,USER002609,KDrama,CONT000057,CONT000057,0.26,2024-01-18 05:34:39
SRCH00003029,USER000949,Comedy,CONT000563,CONT000380,0.72,2026-04-07 09:58:49
SRCH00003030,USER001403,IPL,CONT000590,CONT000590,0.20,2023-05-27 06:21:35
SRCH00003031,USER000452,Anime,CONT000545,CONT000545,0.91,2023-02-04 23:09:58
SRCH00003032,USER002998,Documentary,CONT000701,CONT000997,0.32,2025-09-23 01:22:17
SRCH00003033,USER001451,KDrama,CONT000511,CONT000735,0.14,2024-10-28 14:26:35
SRCH00003034,USER002146,IPL,CONT000107,CONT000853,0.07,2023-08-17 15:17:34
SRCH00003035,USER001742,Sci-Fi,CONT000439,CONT000428,0.09,2025-10-26 16:24:02
SRCH00003036,USER000076,Kids,CONT000199,CONT000837,0.38,2024-07-17 16:00:37
SRCH00003037,USER000411,Documentary,CONT000033,CONT000783,0.00,2024-12-28 23:21:31
SRCH00003038,USER001539,KDrama,CONT000451,CONT000197,0.78,2025-06-15 17:42:16
SRCH00003039,USER000332,Documentary,CONT000714,CONT000759,0.46,2025-07-15 10:36:37
SRCH00003040,USER000195,Marvel,CONT000309,CONT000309,0.20,2024-06-25 13:50:12
SRCH00003041,USER000989,Marvel,CONT000848,CONT000848,0.37,2025-01-23 14:37:41
SRCH00003042,USER001091,Anime,CONT000217,CONT000372,0.65,2024-03-05 04:24:03
SRCH00003043,USER000097,Action Movies,CONT000476,CONT000476,0.86,2024-08-17 17:16:40
SRCH00003044,USER000029,KDrama,CONT000483,CONT000473,0.65,2023-05-31 14:09:32
SRCH00003045,USER002022,IPL,CONT000408,CONT000408,0.91,2024-12-08 11:50:14
SRCH00003046,USER002670,IPL,CONT000087,CONT000087,0.99,2023-01-26 13:22:50
SRCH00003047,USER000763,IPL,CONT000168,CONT000168,0.28,2025-09-01 18:24:39
SRCH00003048,USER000518,KDrama,CONT000865,CONT000422,0.36,2023-03-04 13:16:27
SRCH00003049,USER001502,IPL,CONT000957,CONT000974,0.29,2025-08-06 02:17:12
SRCH00003050,USER001565,KDrama,CONT000020,CONT000020,0.66,2023-06-21 12:17:07
SRCH00003051,USER002863,IPL,CONT000993,CONT000993,0.99,2026-02-04 17:54:13
SRCH00003052,USER002220,Action Movies,CONT000200,CONT000470,0.03,2024-05-04 16:43:34
SRCH00003053,USER002938,Kids,CONT000622,CONT000410,0.27,2024-10-06 21:54:13
SRCH00003054,USER000871,Marvel,CONT000631,CONT000631,0.99,2025-05-04 12:28:23
SRCH00003055,USER002929,Comedy,CONT000280,CONT000332,0.70,2025-09-07 08:26:59
SRCH00003056,USER002005,Drama,CONT000876,CONT000275,0.67,2023-09-28 01:28:54
SRCH00003057,USER001936,KDrama,CONT000079,CONT000079,0.56,2024-08-15 02:18:34
SRCH00003058,USER001237,Anime,CONT000190,CONT000211,0.79,2023-01-05 00:12:31
SRCH00003059,USER001325,Anime,CONT000417,CONT000870,0.44,2025-09-28 16:39:18
SRCH00003060,USER001334,Kids,CONT000471,CONT000471,0.12,2026-01-22 10:21:43
SRCH00003061,USER000741,Anime,CONT000951,CONT000711,0.44,2026-02-22 02:52:45
SRCH00003062,USER000491,Anime,CONT000579,CONT000579,0.94,2025-05-03 17:40:17
SRCH00003063,USER000132,Comedy,CONT000357,CONT000891,0.30,2023-10-18 01:00:20
SRCH00003064,USER002149,Action Movies,CONT000073,CONT000080,0.69,2024-10-24 11:02:34
SRCH00003065,USER001999,Action Movies,CONT000395,CONT000395,0.82,2026-05-21 08:10:21
SRCH00003066,USER002139,Action Movies,CONT000544,CONT000235,0.34,2026-01-26 16:27:40
SRCH00003067,USER000218,Sci-Fi,CONT000461,CONT000583,0.04,2025-02-06 11:36:29
SRCH00003068,USER001063,Action Movies,CONT000163,CONT000343,0.14,2024-09-20 10:33:09
SRCH00003069,USER002008,Sci-Fi,CONT000319,CONT000828,0.42,2023-05-24 18:02:15
SRCH00003070,USER000486,IPL,CONT000916,CONT000076,0.40,2026-06-29 04:22:35
SRCH00003071,USER001789,Kids,CONT000515,CONT000515,0.94,2024-12-13 22:13:55
SRCH00003072,USER001964,Comedy,CONT000357,CONT000181,0.46,2025-11-02 12:19:44
SRCH00003073,USER002541,KDrama,CONT000768,CONT000041,0.36,2025-07-29 17:59:18
SRCH00003074,USER000713,Comedy,CONT000612,CONT000995,0.04,2026-03-19 14:03:28
SRCH00003075,USER001869,Kids,CONT000949,CONT000695,0.07,2025-01-01 21:56:54
SRCH00003076,USER002107,Anime,CONT000090,CONT000610,0.13,2023-08-16 20:43:45
SRCH00003077,USER000094,Documentary,CONT000422,CONT000093,0.42,2024-03-15 06:20:18
SRCH00003078,USER001323,Sci-Fi,CONT000444,CONT000690,0.43,2024-12-17 14:25:07
SRCH00003079,USER000290,Action Movies,CONT000988,CONT000405,0.17,2023-12-17 06:19:57
SRCH00003080,USER000047,Anime,CONT000487,CONT000553,0.50,2023-02-19 19:44:58
SRCH00003081,USER002164,Action Movies,CONT000625,CONT000625,0.67,2025-01-07 18:47:34
SRCH00003082,USER002613,Drama,CONT000966,CONT000204,0.18,2025-01-13 08:46:54
SRCH00003083,USER002361,Comedy,CONT000250,CONT000345,0.27,2024-02-05 07:47:32
SRCH00003084,USER002101,Comedy,CONT000438,CONT000392,0.61,2024-02-16 21:27:57
SRCH00003085,USER000491,Marvel,CONT000822,CONT000822,0.90,2024-08-23 16:28:21
SRCH00003086,USER002024,Drama,CONT000420,CONT000420,0.08,2023-05-16 06:25:59
SRCH00003087,USER000421,Action Movies,CONT000880,CONT000937,0.23,2023-11-18 04:02:02
SRCH00003088,USER000125,Drama,CONT000083,CONT000083,0.82,2026-02-16 01:48:37
SRCH00003089,USER000954,Comedy,CONT000234,CONT000234,0.03,2023-01-28 13:17:48
